id,categoria_id,nombre,precio
sesamo_blanco_5kg,cereales,SEMILLA DE SESAMO BLANCO INT X 5K,20170
sesamo_blanco_kg,cereales,SESAMO BLANCO X KG,5075
soja_texturizada_150,cereales,SOJA TEXTURIZADA 150GR,1610
soja_texturizada_5kg,cereales,PROTEINA DE SOJA TEXTURIZADA X 5K,17275
soja_texturizada_kg,cereales,SOJA TEXTURIZADA X KG,4500
almidon_500,panificados,ALMIDON DE MANDIOCA X 500GR,2510
almidon_kg,panificados,ALMIDON DE MANDIOCA X KG,4205
azucar_impalpable_500,panificados,AZUCAR IMPALPABLE X 500GR,2715
azucar_impalpable_10kg,panificados,AZUCAR IMPALPABLE X 10KG,35295
azucar_impalpable_kg,panificados,AZUCAR IMPALPABLE X KG,4625
azucar_mascabo_400,panificados,AZUCAR MASCABO X 400GR,3170
azucar_mascabo_10kg,panificados,AZUCAR MASCABO X 10KG,53960
azucar_mascabo_kg,panificados,AZUCAR MASCABO X KG,6715
bicarbonato_150,panificados,BICARBONATO DE SODIO 150GR,1770
bicarbonato_5kg,panificados,BICARBONATO DE SODIO X 5 KG,18630
bicarbonato_kg,panificados,BICARBONATO DE SODIO X KG,4800
cacao_150,panificados,CACAO AMARGO EN POLVO 150GR,4050
cacao_kg,panificados,CACAO AMARGO EN POLVO X KG,21050
coco_100,panificados,COCO RALLADO X 100GR,2905
coco_kg,panificados,COCO RALLADO X KG,19705
fecula_400,panificados,FECULA DE MAIZ X 400GR,2070
fecula_25kg,panificados,FECULA DE MAIZ X 25KG,70025
fecula_kg,panificados,FECULA DE MAIZ X KG,3955
gelatina_200,panificados,GELATINA SIN SABOR X 200GR,7250
gelatina_kg,panificados,GELATINA SIN SABOR X KG,32085
gotitas_choco_200,panificados,GOTITA DE CHOCOLATE X 200GR,3835
gotitas_choco_kg,panificados,GOTITA DE CHOCOLATE X KG,14825
harina_almendra_17,panificados,HARINA DE ALMENDRA SIN PIEL 100% PURA X 17GR DOYPACK,8865
harina_almendra_5kg,panificados,HARINA DE ALMEDRA X 5KG,214155
harina_almendra_kg,panificados,"HARINA DE ALMENDRA SIN PIEL 100% PURA X KG",46860
huevo_deshidratado_200,panificados,HUEVO DESHIDRATADO X 200GR,1810
huevo_deshidratado_kg,panificados,HUEVO DESHIDRADO X KG,6390
polvo_hornear_10kg,panificados,POLVO PARA HORNEAR X 10KG,87665
pan_leche_doc,panificados,PAN DE LECHE X DOC,4250
pan_leche_uni,panificados,PAN DE LECHE X UNIDAD,370
factura_doc,panificados,FACTURA X DOCENA,6875
factura_uni,panificados,FACTURA X UNIDAD,600
pan_hamburguesa_4,panificados,PAN DE HAMBURGUESA X 4UND,1250
pan_hamburguesa_6,panificados,PAN DE HAMBURGUESA Y DE PANCHO X 6 UND,1500
pan_hamburguesa_20,panificados,PAN DE HAMBURGUESA X 20UND GIGANTES,7500
pan_hamburguesa_30,panificados,PAN DE HAMBURGUESA X 30UND,7500
pan_lomito_15,panificados,PAN PARA LOMITO X 15UND,7500
pan_rallado_kg,panificados,PAN RALLADO X KG,1560
prepizza,panificados,PREPIZZA,1000
arandanos_150,frutas,ARANDANOS X 150GR,4950
arandanos_kg,frutas,ARANDANOS X KG,25890
banana_chip_100,frutas,BANANA CHIP 100GR,3350
banana_chip_5kg,frutas,BANANA CHIPS X 5KG,121380
banana_chip_kg,frutas,BANANA CHIP X KG,23645
ciruela_170,frutas,CIRUELA 170GR,3600
